Subject_No;NDVI_500_mean;LUgreen_500m;DGURBA_CLA;compstudie2;Airport;AirportName;Year;Gender;Age;AgeGroups;Annoyance_road;HAv_road;Road_LDEN;Annoyance_rail;HAv_rail;Rail_LDEN;Annoyance_air;HAv_air;Air_LDEN
164;0.433;0.298;2;3.3;4;STR;2013;1;49;3050;2;0;45.6;2;0;46.6;2;0;39.1
165;0.568;0.700;2;3.3;4;STR;2013;2;55;5070;2;0;58.2;1;0;36.1;2;0;38.4
166;0.466;0.432;2;3.3;4;STR;2013;2;53;5070;2;0;48.8;1;0;35.0;3;0;39.7
167;0.463;0.383;2;3.3;4;STR;2013;1;52;5070;2;0;48.4;1;0;35.0;3;0;39.8
168;0.422;0.540;2;3.3;4;STR;2013;2;69;5070;1;0;38.2;1;0;35.0;2;0;38.3
169;0.459;0.390;2;3.3;4;STR;2013;1;75;7000;2;0;51.8;3;0;35.0;1;0;50.3
170;0.509;0.600;2;3.3;4;STR;2013;2;42;3050;5;1;61.7;1;0;38.6;1;0;38.4
171;0.459;0.390;2;3.3;4;STR;2013;1;54;5070;3;0;53.2;2;0;35.0;3;0;50.3
172;0.409;0.202;2;3.3;4;STR;2013;2;71;7000;4;1;46.4;1;0;53.5;1;0;39.1
173;0.487;0.373;2;3.3;4;STR;2013;2;69;5070;1;0;48.7;1;0;35.0;4;1;50.3
174;0.435;0.433;2;3.3;4;STR;2013;2;65;5070;2;0;48.9;1;0;35.0;2;0;39.8
175;0.469;0.411;2;3.3;4;STR;2013;2;56;5070;2;0;59.6;1;0;35.0;1;0;39.2
176;0.469;0.411;2;3.3;4;STR;2013;2;;;4;1;47.8;1;0;35.0;1;0;39.2
177;0.526;0.533;2;3.3;4;STR;2013;2;44;3050;2;0;44.2;1;0;35.0;2;0;40.2
178;0.530;0.413;2;3.3;4;STR;2013;1;45;3050;1;0;46.7;1;0;35.0;4;1;40.2
179;0.427;0.196;2;3.3;4;STR;2013;1;69;5070;1;0;44.2;1;0;44.2;1;0;39.1
180;0.550;0.529;2;3.3;4;STR;2013;2;47;3050;2;0;52.3;1;0;35.0;1;0;38.3
181;0.469;0.411;2;3.3;4;STR;2013;2;71;7000;2;0;47.8;1;0;35.0;2;0;39.2
182;0.445;0.543;2;3.3;4;STR;2013;1;66;5070;2;0;52.9;2;0;35.0;1;0;39.8
183;0.533;0.481;2;3.3;4;STR;2013;1;46;3050;1;0;46.3;1;0;35.0;2;0;50.4
184;0.469;0.411;2;3.3;4;STR;2013;1;65;5070;2;0;41.9;1;0;35.0;3;0;39.1
185;0.417;0.377;2;3.3;4;STR;2013;2;61;5070;3;0;50.4;1;0;35.0;1;0;40.0
186;0.515;0.296;2;3.3;4;STR;2013;2;48;3050;1;0;44.6;1;0;35.0;1;0;40.5
187;0.466;0.271;2;3.3;4;STR;2013;1;54;5070;2;0;56.3;1;0;35.0;1;0;38.2
188;0.545;0.475;2;3.3;4;STR;2013;2;76;7000;3;0;53.7;1;0;35.0;3;0;40.5
189;0.533;0.422;2;3.3;4;STR;2013;1;67;5070;1;0;49.1;1;0;35.0;2;0;40.4
190;0.535;0.384;2;3.3;4;STR;2013;1;52;5070;3;0;69.5;1;0;35.0;2;0;40.4
191;0.467;0.421;2;3.3;4;STR;2013;1;39;3050;2;0;44.4;2;0;35.0;2;0;39.0
192;0.526;0.370;2;3.3;4;STR;2013;2;56;5070;1;0;49.4;1;0;35.0;2;0;40.4
193;0.536;0.586;2;3.3;4;STR;2013;1;57;5070;1;0;44.6;1;0;35.0;3;0;50.4
194;0.468;0.449;2;3.3;4;STR;2013;2;42;3050;1;0;44.2;1;0;35.0;1;0;39.1
195;0.417;0.111;2;3.3;4;STR;2013;2;58;5070;1;0;47.5;1;0;35.0;1;0;40.4
196;0.421;0.222;2;3.3;4;STR;2013;2;56;5070;3;0;46.2;1;0;35.0;2;0;39.2
197;0.417;0.111;2;3.3;4;STR;2013;2;40;3050;3;0;47.1;1;0;35.0;3;0;40.4
198;0.386;0.128;2;3.3;4;STR;2013;1;51;5070;1;0;44.4;1;0;35.0;1;0;38.2
199;0.361;0.401;2;3.3;4;STR;2013;1;73;7000;3;0;43.1;1;0;35.0;3;0;38.2
200;0.464;0.409;2;3.3;4;STR;2013;2;43;3050;4;1;51.9;1;0;35.0;1;0;39.3
201;0.563;0.658;2;3.3;4;STR;2013;1;86;7000;1;0;42.3;1;0;35.0;2;0;49.9
202;0.443;0.338;2;3.3;4;STR;2013;1;48;3050;1;0;44.5;1;0;35.0;1;0;39.1
203;0.420;0.148;2;3.3;4;STR;2013;2;18;1830;5;1;68.0;4;1;60.8;2;0;39.1
204;0.417;0.111;2;3.3;4;STR;2013;1;45;3050;3;0;47.1;2;0;35.0;2;0;40.4
205;0.417;0.111;2;3.3;4;STR;2013;2;70;7000;1;0;47.1;1;0;35.0;1;0;40.4
206;0.418;0.322;2;3.3;4;STR;2013;1;63;5070;2;0;46.8;1;0;49.4;2;0;39.1
207;0.489;0.347;2;3.3;4;STR;2013;1;50;5070;1;0;44.3;1;0;35.0;1;0;40.9
208;0.504;0.459;2;3.3;4;STR;2013;2;48;3050;2;0;41.7;1;0;35.0;2;0;50.4
209;0.445;0.378;2;3.3;4;STR;2013;2;58;5070;2;0;43.6;1;0;35.0;5;1;50.6
210;0.462;0.154;2;3.3;4;STR;2013;2;66;5070;2;0;46.9;1;0;35.0;3;0;41.3
211;0.462;0.154;2;3.3;4;STR;2013;1;77;7000;3;0;46.9;1;0;35.0;2;0;41.3
212;0.402;0.158;2;3.3;4;STR;2013;1;22;1830;4;1;54.0;4;1;66.7;1;0;39.0
213;0.462;0.154;2;3.3;4;STR;2013;1;76;7000;2;0;46.5;1;0;35.0;3;0;41.2
214;0.402;0.158;2;3.3;4;STR;2013;1;33;3050;1;0;53.3;2;0;65.4;1;0;39.0
215;0.445;0.398;2;3.3;4;STR;2013;2;58;5070;4;1;74.8;1;0;35.0;4;1;50.8
216;0.462;0.154;2;3.3;4;STR;2013;1;79;7000;4;1;46.9;1;0;35.0;3;0;41.3
217;0.414;0.115;2;3.3;4;STR;2013;1;61;5070;1;0;48.3;1;0;35.0;3;0;38.1
218;0.417;0.190;2;3.3;4;STR;2013;2;70;7000;1;0;42.6;1;0;35.0;4;1;51.3
219;0.457;0.420;2;3.3;4;STR;2013;2;73;7000;1;0;51.4;1;0;49.8;1;0;41.8
220;0.400;0.195;2;3.3;4;STR;2013;1;58;5070;4;1;68.1;2;0;61.9;2;0;39.0
221;0.428;0.118;2;3.3;4;STR;2013;1;68;5070;2;0;47.0;1;0;35.0;2;0;41.5
222;0.373;0.012;2;3.3;4;STR;2013;1;68;5070;3;0;54.7;1;0;35.0;1;0;41.1
223;0.438;0.355;2;3.3;4;STR;2013;2;59;5070;2;0;41.4;1;0;35.0;5;1;51.4
224;0.563;0.747;2;3.3;4;STR;2013;1;54;5070;1;0;39.6;1;0;35.0;3;0;51.2
225;0.413;0.202;2;3.3;4;STR;2013;2;75;7000;1;0;43.2;1;0;35.0;4;1;51.5
226;0.438;0.355;2;3.3;4;STR;2013;2;57;5070;2;0;42.5;1;0;35.0;4;1;51.2
227;0.438;0.355;2;3.3;4;STR;2013;2;50;5070;1;0;41.4;1;0;35.0;2;0;51.4
228;0.491;0.527;2;3.3;4;STR;2013;2;44;3050;3;0;42.0;1;0;35.0;4;1;51.9
229;0.554;0.717;2;3.3;4;STR;2013;2;55;5070;2;0;64.5;1;0;35.0;1;0;49.5
230;0.350;0.154;2;3.3;4;STR;2013;2;65;5070;2;0;51.6;1;0;35.0;3;0;41.0
231;0.516;0.632;2;3.3;4;STR;2013;1;53;5070;2;0;41.5;1;0;35.0;3;0;51.6
232;0.606;0.766;2;3.3;4;STR;2013;2;54;5070;2;0;39.1;1;0;35.0;4;1;50.1
233;0.581;0.725;2;3.3;4;STR;2013;1;49;3050;1;0;42.4;1;0;35.0;4;1;49.7
234;0.483;0.350;2;3.3;4;STR;2013;1;68;5070;3;0;56.0;1;0;35.0;4;1;52.0
235;0.350;0.154;2;3.3;4;STR;2013;1;57;5070;2;0;51.6;1;0;35.0;2;0;41.0
236;0.395;0.121;2;3.3;4;STR;2013;1;62;5070;1;0;43.9;1;0;35.0;5;1;51.8
237;0.597;0.721;2;3.3;4;STR;2013;1;88;7000;1;0;38.0;1;0;35.0;3;0;50.6
238;0.401;0.194;2;3.3;4;STR;2013;2;50;5070;1;0;44.3;1;0;35.0;1;0;52.4
239;0.450;0.397;2;3.3;4;STR;2013;1;28;1830;1;0;41.8;1;0;35.0;2;0;52.3
240;0.597;0.721;2;3.3;4;STR;2013;1;78;7000;2;0;37.3;1;0;35.0;3;0;50.4
241;0.463;0.109;2;3.3;4;STR;2013;1;71;7000;2;0;50.6;1;0;35.0;3;0;42.3
242;0.401;0.194;2;3.3;4;STR;2013;1;72;7000;4;1;49.4;1;0;35.0;4;1;52.0
243;0.530;0.647;2;3.3;4;STR;2013;2;89;7000;4;1;66.7;1;0;35.0;2;0;49.8
244;0.530;0.647;2;3.3;4;STR;2013;2;48;3050;5;1;66.7;1;0;35.0;5;1;49.8
